14549,18722
14549,25883
14549,72416
14549,38575
14549,8857
590,37474
590,67138
590,10800
19504,13156
9078,70551
61434,4007
44998,66544
81471,39621
51373,83096
912,54031
49517,89573
49517,63200
49517,14671
49517,25210
80936,41060
71885,8179
22707,99912
6730,38909
63039,6109
83670,15207
52685,14726
3572,52250
3572,23377
3572,79631
3572,80293
3572,94475
3572,91337
3572,69409
5996,18911
23538,72973
2555,76089
17704,37826
17704,45654
76830,528
93960,56627
83525,38909
3915,48574
4071,18911
34710,62312
7057,63418
69639,88477
69639,60448
25658,52533
23116,30856
23116,95466
33286,28573
84725,38909
53188,4007
43370,61502
68368,14726
68368,4007
58503,56684
58503,72555
58503,27864
58503,572
83044,74328
25494,14489
89928,36485
23652,72973
23652,36485
23652,83659
23652,73230
53028,89199
3127,2038
3127,14726
72104,36886
72104,10800
31550,68650
6947,14726
6947,99211
45596,17311
45596,26841
45596,56245
45596,12221
93004,75439
93004,61502
21828,8857
21828,22982
86227,14726
99912,90917
50012,61502
1988,77622
1988,90344
1988,66544
1988,86790
1988,44198
85480,66927
59783,33244
7667,92812
49675,24494
61878,44413
31698,55041
72568,32517
68336,30587
62353,67797
62353,32335
62353,33955
95300,87802
68530,23537
9142,81540
89837,89869
89837,50938
57359,54741
30631,69889
30631,61094
73374,55456
73374,20017
73374,38769
73374,61502
6848,25891
64555,62132
64555,84730
64555,18175
64555,15207
11652,78147
19626,14327
93742,77428
61980,75439
55130,2516
940,94038
940,85103
940,97639
11655,9987
24622,93266
24622,20789
24622,90344
24622,99912
269,29844
52882,8307
47814,47363
21495,35941
94287,14726
94287,35941
94287,42609
71818,61745
71818,17520
71818,69643
71818,77739
71818,29207
8662,39265
8662,572
51558,97339
83460,40039
75268,8307
75268,8668
75268,69409
79685,37826
79685,54741
55637,87849
55637,92775
55637,43788
55637,67797
55637,572
55637,68813
55637,41452
55637,16320
55637,59914
55637,14230
55637,65250
55637,37254
55637,49517
55637,17520
55637,99319
55637,78553
55637,98418
55637,17895
55637,89450
55637,34519
35288,38909
81151,36376
98598,43350
98598,22915
98598,23255
98598,28573
98598,69643
98598,29207
73277,90169
73277,20413
70574,72127
68791,75439
31648,56677
31648,50466
31648,77599
31648,83674
31648,39621
31648,65854
31648,22915
31648,43497
31648,16320
31648,38729
31648,77524
31648,14177
31648,90169
31648,28573
31648,29833
31648,25210
31648,52533
31648,90505
74792,81540
74792,27399
74792,27864
14929,76412
33205,49952
33205,6534
33205,18722
33205,60448
48671,43350
48671,22982
